name,description,address,city,state,postcode,country,phone,website,email,monday,tuesday,wednesday,thursday,friday,saturday,sunday,tags,extra,lat,lng,hours
Providence Alaska Medical Center,3200 Providence Drive,Anchorage,AK,99508,"",https://alaska.providence.org/locations/p/pamc,61.189842,-149.81894,
Jessie Norma Jim Health Center,725 Relay Road,Angoon,AK,99820,"",https://searhc.org/location/jessie-norma-jim-health-center/,57.499091,-134.5802606,
Bethel Center and Itinerant Nursing Services,1490 State Hwy,Bethel,AK,99559,"",http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Bethel-Public-Health-Center.aspx,60.7927467,-161.7696992,
Craig Public Health Center,1800 Craig Klawock Highway,Craig,AK,99921,"",http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Craig-Public-Health-Center.aspx,55.4840003,-133.1254048,
Express Care Clinic Craig,"333 Cold Storage Drive, Suite 203",Craig,AK,99921,"",https://searhc.org/location/searhc-express-care-clinic-craig/,55.477882,-133.14027,
Delta Junction Public Health Center,"2857 Alaska Hwy, Room 210",Delta Junction,AK,99737,"",http://dhss.alaska.gov/dph/Nursing/Pages/Frontier%20Region%20Public%20Health%20Center%20Pages/Delta-Junction-Public-Health-Center.aspx,63.7169618,-144.656801,Call ahead
Dillingham Public Health Center,125 Main Street,Dillingham,AK,99576,"",http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Dillingham-Public-Health-Center.aspx,59.040104,-158.45766,
Fairbanks Regional Public Health Center Interior Region,1025 W Barnette St,Fairbanks,AK,99701,"",http://dhss.alaska.gov/dph/Nursing/Pages/Frontier%20Region%20Public%20Health%20Center%20Pages/Fairbanks-Regional-Public-Health-Center.aspx,64.838806,-147.72575,
Gustavus Clinic,42 Dolley Varden Road,Gustavus,AK,99826,"",https://searhc.org/location/gustavus-clinic/,58.4179196,-135.746215,
Haines Health Center,131 1st Avenue,Haines,AK,99827,"",https://searhc.org/location/haines-health-center/,59.23349,-135.4441,
Homer Public Health Center,195 E Bunnell Ave Ste C,Homer,AK,99603,"",http://dhss.alaska.gov/dph/Nursing/Pages/Homer-Public-Health-Center.aspx,59.640067,-151.53924,
Hoonah Health Center,490 Gartina Highway,Hoonah,AK,99829,"",https://searhc.org/location/hoonah-health-center/,58.1017837,-135.4155273,
Alma Cook Health Center in Hydaburg,Eighth Street Extension,Hydaburg,AK,99922,"",https://searhc.org/location/hydaburg-alma-cook-health-center/,55.2055343,-132.8237149,
Ethel Lund Medical Center,1200 Salmon Creek Lane,Juneau,AK,99801,"",https://searhc.org/location/ethel-lund-medical-center/,58.334766,-134.43591,
Front Street Clinic Juneau,"225 Front Street, Suite 202",Juneau,AK,99801,"",https://searhc.org/location/front-street-clinic/,58.300552,-134.40634,
Juneau Public Health Center,3412 Glacier Hwy,Juneau,AK,99801,"",http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Juneau-Public-Health-Center.aspx,58.3324,-134.47186,
Kake Health Center,105 Totem Way,Kake,AK,99830,"",https://searhc.org/location/kake-health-center/,56.9750991,-133.9419311,
Kasaan Health Center,100 Clinic Way,Kasaan,AK,99950,"",https://searhc.org/location/kasaan-health-center/,55.94,-133.1800001,
Kenai Public Health Center,630 Barnacle Way Ste A,Kenai,AK,99611,"",http://dhss.alaska.gov/dph/Nursing/Pages/Kenai-Public-Health-Center.aspx,60.558121,-151.2519571,
Ketchikan Public Health Center,605 Gateway Court,Ketchikan,AK,99901,"",http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Ketchikan-Public-Health-Center.aspx,55.3544174,-131.6846599,
Alicia Roberts Medical Center,7300 Klawock Hollis Highway,Klawock,AK,99925,"",https://searhc.org/location/alicia-roberts-medical-center/,55.5470864,-133.0964469,
Klukwan Health Center,11 Chilkat Avenue,Klukwan,AK,99827,"",https://searhc.org/location/searhc-klukwan-clinic/,59.399246,-135.88419,
Kodiak Public Health Center,316 Mission Rd Ste 207,Kodiak,AK,99615,"",http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Kodiak-Public-Health-Center.aspx,57.787464,-152.405,
Providence Kodiak Island Medical Center,1915 East Rezanof Drive,Kodiak Island,AK,99615,"",https://alaska.providence.org/locations/p/pkimc,57.80065,-152.3742,
Nome Public Health Center,607 Division St,Nome,AK,99762,"",http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Nome-Public-Health-Center.aspx,64.5021731,-165.4041034,
Pelican Health Center,101 Salmon Way,Pelican,AK,99832,"",https://searhc.org/location/pelican-health-center/,57.960506,-136.22934,
Petersburg Medical Center,103 Fram St.,Petersburg,AK,99833,"",https://searhc.org/community/petersburg/,56.812466,-132.95596,
Providence Seward Medical Center,417 1st Avenue,Seward,AK,99664,"",https://alaska.providence.org/locations/p/psmcc,60.105114,-149.44545,
Mountainside Family Clinic,209 Moller Avenue,Sitka,AK,99835,"",https://searhc.org/location/mountainside-family-clinic/,57.059437,-135.3439,
Sitka Public Helath Center,210 Moller Ave,Sitka,AK,99835,"",http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Sitka-Public-Health-Center.aspx,57.0587927,-135.3455464,
Mt. Edgecumbe Medical Center Primary Care,222 Tongass Dr,Sitka,AK,99835,"",https://searhc.org/location/mt-edgecumbe-primary-care/,57.0519903,-135.3551988,
Sitka Medical Center (SMC),"700 Katlian Street, Suite E",Sitka,AK,99835,"",https://searhc.org/location/sitka-medical-center-smc/,57.056065,-135.34824,
Mountainside Urgent Care,814 Halibut Point Rd.,Sitka,AK,99835,"",https://searhc.org/location/mountainside-urgent-care/,57.059532,-135.34814,
Thorne Bay Health Center,120 Freeman,Thorne Bay,AK,99919,"",https://searhc.org/location/thorne-bay-clinic/,55.68749,-132.52379,
Tok Public Health Center,1314 Alaska Highway,Tok,AK,99780,"",http://dhss.alaska.gov/dph/Nursing/Pages/Frontier%20Region%20Public%20Health%20Center%20Pages/Tok-Public-Health-Center.aspx,63.3381236,-143.0083326,
Valdez Public Health Center,1001 Meals Ave,Valdez,AK,99686,"",http://dhss.alaska.gov/dph/Nursing/Pages/Valdez-Public-Health-Center.aspx,61.131388,-146.3499884,
Providence Valdez Medical Center,911 Meals Ave,Valdez,AK,99686,"",https://alaska.providence.org/locations/p/pvmc,61.1364781,-146.3458866,
Matanuska-Susitna (Mat-Su-Public Health Center,3223 E Palmer Wasilla Hwy Ste 3,Wasilla,AK,99654,"",http://dhss.alaska.gov/dph/Nursing/Pages/Mat-Su-Public-Health-Center.aspx,61.585106,-149.36925,
Alaska Island Community Services (AICS) Medical Clinic,232 Wood St,Wrangell,AK,99929,"",https://searhc.org/location/aics-medical-clinic/,56.4629261,-132.3719408,
Lake Otis Parkway Drive Thru,4115 Lake Otis Pkwy,Anchorage,AK,99508, ,"",61.18240428,-149.8376379,9am - 7pm Seven days a week
Tallapoosa County Health Department,2078 Sportplex Boulevard,Alexander,AL,"",888-264-2256,http://www.adph.org/escambia/,32.9280049,-85.976477,Call ahead
Kaiser Fontana,9961 Sierra Ave,Fontana,CA,92335,"","",34.07294531,-117.435624,
Express Med,970 Cox Creek Pkwy,Florence,AL,35633,"",http://expressmedonline.com/location/express-med-florence/,34.8392926,-87.68529077,8a - 6p / Sat 8a - 4p
Marshall County Hospital North,0 Seeley Road,Marshall,AL,35747,256 840-3507,https://mmcenters.com/,34.45241632,-86.35660845,
Marshall County Hospital South,0 Wyeth Mountain Road,Guntersville,AL,35976,256 840-3507,https://mmcenters.com/,34.33683059,-86.26597124,
Northeast Alabama Health Services COVID-19 Screening,25053 John T Reid Pkwy,Scottsboro,AL,35768,"",https://neahsi.com,34.75272842,-86.01465898,10a-2p
American Family Care Alabaster,120 Colonial Promenade Pkwy,Alabaster,AL,35007,205-549-8891,https://www.afcurgentcare.com/alabaster/?L=true,33.2301855,-86.8025465,Call ahead
American Family Care Athens,1285 US Highway 72 East,Athens,AL,35611,256-600-9479,https://www.afcurgentcare.com/athens/?L=true,34.7853803,-86.9463779,Call ahead
American Family Care Bessemer,5911 Harris Ln,Bessemer,AL,35022,205-346-8364,https://www.afcurgentcare.com/bessemer/?L=true,33.3354895,-86.9945596,Call ahead
American Family Care Calera,72 County Road 304,Calera,AL,35040,205-351-0351,https://www.afcurgentcare.com/calera/?L=true,33.1460302,-86.7477575,Call ahead
American Family Care Cullman,1841 Cherokee Ave SW,Cullman,AL,35055,256-743-5026,https://www.afcurgentcare.com/cullman/?L=true,34.14680323,-86.84590369,Call ahead
American Family Care Daphne,6631 Park Dr,Daphne,AL,36526,251-255-2523,https://www.afcurgentcare.com/daphne/?L=true,30.63040913,-87.90982034,Call ahead
American Family Care Decatur,2604 U.S. 31,Decatur,AL,35603,256-598-9759,https://www.afcurgentcare.com/decatur/?L=true,34.56230778,-86.97324229,Call ahead
American Family Care Dothan,2445 Murphy Mill Rd,Dothan,AL,36303,334-564-8255,https://www.afcurgentcare.com/dothan/?L=true,31.26415628,-85.44009316,Call ahead
AFC PriMed Eastchase,2570 Berryhill Rd,Montgomery,AL,36117,334-384-8582,https://www.afcurgentcare.com/eastchase/?L=true,32.359739,-86.1623475,Call ahead
American Family Care Enterprise,606 Boll Weevil Cir,Enterprise,AL,36330,334-650-6078,https://www.afcurgentcare.com/enterprise/?L=true,31.3335043,-85.86512814,Call ahead
American Family Care  Fairhope,10040 County Road 48,Fairhope,AL,36532,251-220-6780,https://www.afcurgentcare.com/fairhope/?L=true,30.52353725,-87.84969163,Call ahead
American Family Care Festival Centre,900 Montlimar Dr,Mobile,AL,36609,251-250-1403,https://www.afcurgentcare.com/festival-centre/?L=true,30.6727804,-88.1351292,Call ahead
Kaiser Permanente Corona Medical Offices,2055 Kellogg Ave,Corona,CA,92879,"","",33.85625874,-117.5550874,7 am - 7 pm
American Family Care Flintridge,6554 Aaron Aronov Dr,Fairfield,AL,35064,205-512-3706,https://www.afcurgentcare.com/flintridge/?L=true,33.4718697,-86.9209522,Call ahead
American Family Care Gadsden,366 East Meighan Blvd,Gadsden,AL,35903,256-952-3918,https://www.afcurgentcare.com/gadsden/?L=true,34.00982408,-85.98854947,Call ahead
American Family Care Gardendale,919 Odum Rd,Gardendale,AL,35071,205-351-0149,https://www.afcurgentcare.com/gardendale/?L=true,33.649054,-86.825529,Call ahead
AFC PriMed Greenville,101 Paul Stabler Dr,Greenville,AL,36037,864-301-8614,https://www.afcurgentcare.com/greenville/?L=true,31.79897753,-86.62528569,Call ahead
American Family Care Greystone,5410 Old Highway 280,Meadowbrook,AL,35242,205-512-2361,https://www.afcurgentcare.com/greystone/?L=true,33.42542068,-86.67119731,Call ahead
American Family Care Hampton Cove,410 Sutton Rd,Owens Cross Roads,AL,35763,256-472-6258,https://www.afcurgentcare.com/hampton-cove/?L=true,34.6594277,-86.4845641,Call ahead
American Family Care Hoover,1680 Montgomery Hwy,Vestavia Hills,AL,35216,205-236-6394,https://www.afcurgentcare.com/hoover/?L=true,33.3907777,-86.8071968,Call ahead
American Family Care Madison,7559 Highway 72 West,Madison,AL,35758,256-414-0488,https://www.afcurgentcare.com/madison/?L=true,34.75549752,-86.73162932,Call ahead
Drive-Through at Hotchkins Memorial Training Center,1700 Stadium Way,Los Angeles,CA,90012, ,"",34.06812343,-118.2424808,
Drive-Through at West LA Veteran‚Äôs Administration Lot 15,11301 Wilshire Blvd,Los Angeles,CA,90073, ,"",34.0524302,-118.4584607,
American Family Care Montclair,1652 Montclair Rd,Birmingham,AL,35210,205-236-8623,https://www.afcurgentcare.com/montclair/?L=true,33.5267287,-86.7199827,Call ahead
American Family Care Clinic Orange Beach,25775 Perdido Beach Boulevard Suite E-5,Orange Beach,AL,36561,251-250-1402,https://www.afcurgentcare.com/orange-beach/?L=true,30.28494362,-87.57203251,Call ahead
American Family Care Parkway,9232 Parkway East,Birmingham,AL,35206,205-512-2274,https://www.afcurgentcare.com/parkway/?L=true,33.5882332,-86.6996097,Call ahead
American Family Care Pell City,20 Hazelwood Dr,Pell City,AL,35125,205-512-3767,https://www.afcurgentcare.com/pell-city/?L=true,33.61023652,-86.28337088,Call ahead
AFC PriMed Prattville,1965 Cobbs Ford Rd,Prattville,AL,36066,334-309-8516,https://www.afcurgentcare.com/prattville/?L=true,32.46057309,-86.41800838,Call ahead
American Family Care Saraland,1097 Industrial Pkwy,Saraland,AL,36571,251-250-1519,https://www.afcurgentcare.com/saraland/?L=true,30.79724959,-88.08285468,Call ahead
American Family Care South College Street,1902 South College St,Auburn,AL,36830,334-203-6489,https://www.afcurgentcare.com/south-college-st-/?L=true,32.5707335,-85.5005893,Call ahead
AFC PriMed Taylor Crossing,34 Taylor Road North,Montgomery,AL,36117,334-581-8396,https://www.afcurgentcare.com/taylor-crossing/?L=true,32.3831492,-86.1728992,Call ahead
Drive-Through at Hansen Dam (near the Aquatic Center),11798 Foothill Blvd,Lake View Terrace,CA,91342, ,"",34.27322253,-118.39325,
Public Health Regional Laboratory,3313 Chanate Road,Santa Rosa,CA,95404,"","",38.4682841,-122.7083068,
American Family Care Tiger Town,2544 Enterprise Dr,Opelika,AL,36801,334-845-8313,https://www.afcurgentcare.com/tiger-town/?L=true,32.6917304,-85.39718808,Call ahead
American Family Care Tillmans Corner,5235 Rangeline Service Rd,Mobile,AL,36619,251-220-7281,https://www.afcurgentcare.com/tillmans-corner/?L=true,30.59566878,-88.16381473,Call ahead
American Family Care Trussville,5892 Trussville Crossings Pkwy,Birmingham,AL,35235,205-374-9339,https://www.afcurgentcare.com/trussville/?L=true,33.6409478,-86.626171,Call ahead
American Family Care Tuscaloosa,9070 Alabama Hwy 69 S,Tuscaloosa,AL,35405,205-732-7375,https://www.afcurgentcare.com/tuscaloosa/?L=true,33.11582135,-87.5428613,Call ahead
AFC PriMed Vaughn Road,2815 Eastern Blvd,Montgomery,AL,36116,334-212-5439,https://www.afcurgentcare.com/vaughn-road/?L=true,32.3430617,-86.2233872,Call ahead
AFC PriMed Wetumpka,4452 U.S. 231,Wetumpka,AL,36092,334-345-3905,https://www.afcurgentcare.com/wetumpka/?L=true,32.50688375,-86.2147547,Call ahead
American Family Care Whitesburg,8151 Whitesburg Drive South,Huntsville,AL,35802,256-617-5704,https://www.afcurgentcare.com/whitesburg/?L=true,34.6576521,-86.5656898,Call ahead
ALH Fever and Flu Clinic at Waddell Family Medicine,902 West Washington Street,Athens,AL,35611,256-262-6188,https://www.athenslimestonehospital.com,34.8011196,-86.9840311,Mon - Fri: 8am to 4pm
ALH Medical East,15243 Greenfield Drive,Athens,AL,35613,256-262-6188,https://www.athenslimestonehospital.com/clinics-physician-offices/medical-east,34.83429254,-86.99381548,Call ahead
Jefferson County Department of Health - Central Health Center,1400 6th Avenue South,Birmingham,AL,35233,888-264-2256,http://www.jcdh.org/,33.5037653,-86.8081469,All Centers are open 7:45am to 4:30pm. Phone lines for clinic appointments open at 7:00am Monday through Friday.
Jefferson County Department of Health - Eastern Health Center,601 West Blvd Roebuck,Birmingham,AL,35206,888-264-2256,http://www.jcdh.org/SitePages/Programs-Services/Clinics/Clinics.aspx,33.5849402,-86.7168452,All Centers are open 7:45am to 4:30pm. Phone lines for clinic appointments open at 7:00am Monday through Friday.
Whitfield Regional Hospital Coronavirus Collection,105 U.S. Highway 80 East,Demopolis,AL,36732,"",https://www.bwwmh.com/index.html,32.505363,-87.8372619,"9:00 AM - 1:00 PM (Monday, Wednesday, Friday only)"
Urgent Care for Children - Birmingham,"500 Cahaba Park Circle, Suite 100",Birmingham,AL,35242,205-848-2273,https://www.childrensurgent.com/,33.4308157,-86.706392,2:00 PM - 10:00 PM Monday - Friday / 10:00 AM - 8:00 PM Weekends
Urgent Care for Children - Madison,"8490 Highway 72 West, Suite 100",Madison,AL,35758,205-848-2273,https://www.childrensurgent.com/,34.74866196,-86.76930761,2:00 PM - 10:00 PM Monday - Friday / 10:00 AM - 8:00 PM Weekends
Escambia County Health Department,1115 Azalea Place,Brewton,AL,35426,888-264-2256,http://www.adph.org/escambia/,31.124348,-87.07426,9a - 11a
Urgent Care for Children - Trussville,117 North Chalkville Road,Trussville,AL,35173,205-848-2273,https://www.childrensurgent.com/,33.6214,-86.608788,2:00 PM - 10:00 PM Monday - Friday / 10:00 AM - 8:00 PM Weekends
Pickens County Health Department,80 William E. Hill Drive,Carrollton,AL,35447,888-264-2256,http://www.adph.org/escambia/,33.2566952,-88.15455324,9a - 3p
Urgent Care for Children - Tuscaloosa,4700 Rice Mine Road Northeast,Tuscaloosa,AL,35406,205-848-2273,https://www.childrensurgent.com/,33.26054021,-87.51523226,2:00 PM - 10:00 PM Monday - Friday / 10:00 AM - 8:00 PM Weekends
Urgent Care for Children - Vestavia,520 Montgomery Highway,Vestavia,AL,35216,205-848-2273,https://www.childrensurgent.com/,33.4499882,-86.7895769,2:00 PM - 10:00 PM Monday - Friday / 10:00 AM - 8:00 PM Weekends
Washington County Health Department,14900 Saint Stephens Avenue,Chatom,AL,36518,888-264-2256,http://www.adph.org/washington/,31.4581256,-88.23044,10a - 2p
Chilton County Health Department,301 Health Center Drive,Clanton,AL,35406,888-264-2256,http://www.adph.org/escambia/,33.33402818,-87.4704468,9a - 3p
DCH Fayette Medical Center,1653 Temple Ave N,Fayette,AL,35555,"",https://www.dchsystem.com/home.aspx,33.708027,-87.824218,DCH’s remote screening site just west of its Regional Medical Center will be open this Saturday from 8:30 a.m. – Noon and Sunday from 2 – 5 p.m.
DCH Northport Medical Center,2700 Hospital Drive,Northport,AL,35476-3360,"",https://www.dchsystem.com/home.aspx,33.233949,-87.570945,DCH’s remote screening site just west of its Regional Medical Center will be open this Saturday from 8:30 a.m. – Noon and Sunday from 2 – 5 p.m.
Conecuh County Health Department,102 Wild Avenue,Evergreen,AL,36401,888-264-2256,http://www.adph.org/conecuh/,31.44684,-86.962456,10a - 2p
DCH Regional Medical Center,1101 Dr Edward Hillard Drive,Tuscaloosa,AL,35401,"",https://www.dchsystem.com/home.aspx,33.203547,-87.5281725,DCH’s remote screening site just west of its Regional Medical Center will be open this Saturday from 8:30 a.m. – Noon and Sunday from 2 – 5 p.m.
Stanford Health - Express Care Palo Alto,"211 Quarry Road,  Suite 102",Palo Alto,CA,94304,"","",37.44110797,-122.1686152,"Everyday, 9 a.m. to 6 p.m."
EAMC,2000 Pepperell Parkway,Opelika,AL,36801,334-528-SICK,https://www.eamc.org/location/eamc,32.63807404,-85.4054807,"Testing site open M-F, 10 a.m. – 12 p.m. / 1 p.m. – 4 p.m. EST"
EAMC-Lanier,4800 48th Street,Valley,AL,36854,334-528-SICK,https://www.eamc.org/location/eamc-lanier,32.8238467,-85.17035526,"Testing site open M-F, 10 a.m. – 12 p.m. / 1 p.m. – 4 p.m. EST"
Huntsville Hospital,3830 Melody Rd NE,Huntsville,AL,35811,"",https://www.huntsvillehospital.org/,34.77659442,-86.5626021,9a-5p or when 400 tests daily reached
Huntsville Hospital Fever and Flu Clinic,120 Governors Drive,Huntsville,AL,35801,"",https://www.huntsvillehospital.org/,34.7196031,-86.5773062,Monday through Friday beginning at 9 a.m. each day
MainStreet Family Care - Alexander City,2508 US Hwy 280,Alexander City,AL,35010,"",https://www.mainstreetfamilycare.com/locations/alexander-city/,32.916423,-85.936834,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Marengo County Health Department,303 Industrial Drive,Linden,AL,"",888-264-2256,http://www.adph.org/marengo/,32.2960916,-87.7943582,Weekdays 8 a.m. - 5 p.m.
MainStreet Family Care - Andalusia,508 E. Three Notch Street,Andalusia,AL,36420,"",https://www.mainstreetfamilycare.com/locations/andalusia/,31.1768401,-86.576474,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Arab,1420 N. Brindlee Mountain Pkwy. Suite A-1,Arab,AL,35016,"",https://www.mainstreetfamilycare.com/locations/arab/,34.3232608,-86.501233,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Jefferson County Department of Health - Western Health Center,631 Bessemer Super Hwy,Midfield,AL,35228,888-264-2256,http://www.jcdh.org/SitePages/Programs-Services/Clinics/Clinics.aspx,33.45016,-86.925575,All Centers are open 7:45am to 4:30pm. Phone lines for clinic appointments open at 7:00am Monday through Friday.
MainStreet Family Care - Brewton,2134 Douglas Ave,Brewton,AL,36426,"",https://www.mainstreetfamilycare.com/locations/brewton/,31.1404977,-87.073994,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Centre,"1925 West Main Street, Suite 102",Centre,AL,35960,"",https://www.mainstreetfamilycare.com/locations/centre/,34.1277855,-85.574007,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Shasta Community Health Center,1035 Placer Street,Redding,CA,96001,"","",40.58350575,-122.3853535,
Monroe County Health Department,416 Agricultural Drive,Monroeville,AL,36460,888-264-2256,http://www.adph.org/escambia/,31.52095248,-87.30747694,10a - 2p
MainStreet Family Care - Eufaula,1026 South Eufaula Ave,Eufaula,AL,36027,"",https://www.mainstreetfamilycare.com/locations/eufaula,31.9334365,-85.20921,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Alabama Department of Public Health,201 Monroe Street,Montgomery,AL,36104,888-264-2256,http://www.alabamapublichealth.gov/,32.3787,-86.30618,Weekdays 8 a.m. - 5 p.m.
MainStreet Family Care - Millbrook,1401 AL Hwy 14,Millbrook,AL,36054,"",https://www.mainstreetfamilycare.com/locations/millbrook,32.4835222,-86.366613,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Mobile,6280 Grelot Road,Mobile,AL,36609,"",https://www.mainstreetfamilycare.com/locations/mobile,30.6608256,-88.163256,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Monroeville,1195 South Alabama Ave.,Monroeville,AL,36460,"",https://www.mainstreetfamilycare.com/locations/monroeville,31.5209525,-87.307477,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Stanford Primary Care in Portola Valley,3250 Alpine Road,Portola Valley,CA,94028,"","",37.39870813,-122.192585,
MainStreet Family Care - Moody,2211 Moody Parkway,Moody,AL,35004,"",https://www.mainstreetfamilycare.com/locations/moody,33.6027858,-86.496134,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Oneonta,2022 2nd Ave. East,Oneonta,AL,35121,"",https://www.mainstreetfamilycare.com/locations/oneonta,33.9412216,-86.455228,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Pelham,300 Big Mountain Road,Pelham,AL,35124,"",https://www.mainstreetfamilycare.com/locations/pelham,33.3135925,-86.763284,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Dallas County Health Department,100 Samuel O Moseley Drive,Selma,AL,36701,888-264-2256,http://www.adph.org/dallas/,32.431511,-87.0553614,10a - 2p
MainStreet Family Care - Sylacauga,40900 US Hwy 280,Sylacauga,AL,35150,"",https://www.mainstreetfamilycare.com/locations/sylacauga,33.1852877,-86.241708,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Talladega,837 E. Battle Street,Talladega,AL,36160,"",https://www.mainstreetfamilycare.com/locations/talladega,33.4306836,-86.099027,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Selma,1475 AL Hwy 14 East,Selma,AL,36703,"",https://www.mainstreetfamilycare.com/locations/selma,32.43153999,-87.01406795,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
MainStreet Family Care - Valley,3306 20th Ave.,Valley,AL,36854,"",https://www.mainstreetfamilycare.com/locations/valley,32.7537416,-85.184514,"Mon - Fri: 8am to 6pm, Sat: 9am to 4pm, Sun: 1pm to 6pm"
Southern Immediate Care-Anniston,4100 McClellan Blvd,Anniston,AL,36201,"",https://www.southernimmediatecare.com/,33.69246554,-85.82338674,Call ahead
Martinez Outpatient Clinic and Community Living Center,150 Muir Road,Martinez,CA,94553,"","",37.99465477,-122.1117752,
Sierra Vista Family Medical Clinic,1227 E Los Angeles Ave,Simi Valley,CA,93065,"","",34.27182683,-118.7769221,"Mon - Fri 9am to 6:30pm, Weekends 8am to 5pm"
Southern Immediate Care-Attalla,956 Gilberts Ferry Road,Attalla,AL,35954,"",https://www.southernimmediatecare.com/,33.99705071,-86.10084858,Call ahead
Southern Immediate Care-Heflin,150 Tompkins St,Heflin,AL,36264,"",https://www.southernimmediatecare.com/,33.6235502,-85.59882947,Call ahead
Downtown COVID-19 Testing Site,Corner of University Blvd. and 22nd St. South,Birmingham,AL,35233,"",https://www.uab.edu/,33.5060515,-86.7984765,9:00a – 11:15a
Baptist Health Coronavirus Care Clinic,2936 Marti Lane,Montgomery,AL,36116,"","",32.3265978,-86.2544154,
Baptist Health Coronavirus Care Clinic—Prattville,350 County Road 4 West,Prattville,AL,36067,"","",32.43036383,-86.46677757,8:00 AM - 5:00 PM
Escambia County Health Department,"8600 Highway 31 North, Suite 17",Atmore,AL,36502,888-264-2256,http://www.adph.org/dallas/,31.0238418,-87.4705738,1p - 3p
Cahaba Medical Care,405 Belcher Street,Centreville,AL,35042,"","",32.94608804,-87.14546552,8a - 5p
Cahaba Medical Care / West End,1308 Tuscaloosa Avenue,Birmingham,AL,35211,205-679-6325,"",33.4932557,-86.8546522,8a - 5p
Choctaw County Health Department,1001 S. Mulberry Ave,Butler,AL,36904,888-264-2256,http://www.adph.org/dallas/,32.07890474,-88.22422515,10a - 2p
Christ Health,5720 First Avenue North,Woodlawn,AL,35212,"","",33.5426671,-86.7500996,8a - 5p
Clarke County Health Department,22600 Highway 84,Grove Hill,AL,36451,888-264-2256,http://www.adph.org/dallas/,31.69908341,-87.80271064,10a - 2p
Columbiana Clinic,22266 Highway 25,Columbiana,AL,35051,"","",33.1888217,-86.6006087,M-Th 1p - 4p / Friday 8a - 12p
