Jaro-Winkler distance,ours,closest CAC match
1.0,104 Legion Dr - Las Vegas - NM - 87701,104 Legion Dr - Las Vegas - NM - 87701
1.0,4602 Eastpark Blvd - Madison - WI - 53718,4602 Eastpark Blvd - Madison - WI - 53718
1.0,3075 N Reserve St Suite Q - Missoula - MT - 59808,3075 N Reserve St Suite Q - Missoula - MT - 59808
1.0,840 Cherokee Trail - Copperhill - TN - 37317,840 Cherokee Trail - Copperhill - TN - 37317
1.0,147 Lake St - Newburgh - NY - 12550,147 Lake St - Newburgh - NY - 12550
1.0,232 S Woods Mill Rd - Chesterfield - MO - 63017,232 S Woods Mill Rd - Chesterfield - MO - 63017
1.0,2500 Hospital Dr - Martinsburg - WV - 25401,2500 Hospital Dr - Martinsburg - WV - 25401
1.0,1860 N Church Rd - Liberty - MO - 64068,1860 N Church Rd - Liberty - MO - 64068
1.0,444 Cajundome Blvd - Lafayette - LA - 70506,444 Cajundome Blvd - Lafayette - LA - 70506
1.0,100 Hospital Dr - Ketchum - ID - 83340,100 Hospital Dr - Ketchum - ID - 83340
1.0,2122 N Scottsdale Rd - Scottsdale - AZ - 85257,2122 N Scottsdale Rd - Scottsdale - AZ - 85257
1.0,1701 E Thomas Rd - Phoenix - AZ - 85016,1701 E Thomas Rd - Phoenix - AZ - 85016
1.0,3900 Broadway - Everett - WA - 98201,3900 Broadway - Everett - WA - 98201
1.0,5920 W McDowell Rd - Phoenix - AZ - 85035,5920 W McDowell Rd - Phoenix - AZ - 85035
1.0,15 Metropolitan Grove Rd - Gaithersburg - MD - 20878,15 Metropolitan Grove Rd - Gaithersburg - MD - 20878
1.0,16520 S Westland Dr - Gaithersburg - MD - 20877,16520 S Westland Dr - Gaithersburg - MD - 20877
1.0,2121 Industrial Pkwy - Silver Spring - MD - 20904,2121 Industrial Pkwy - Silver Spring - MD - 20904
1.0,12335 Georgia Ave - Silver Spring - MD - 20906,12335 Georgia Ave - Silver Spring - MD - 20906
1.0,2131 Industrial Pkwy - Silver Spring - MD - 20904,2131 Industrial Pkwy - Silver Spring - MD - 20904
1.0,18589 N 59th Ave - Glendale - AZ - 85308,18589 N 59th Ave - Glendale - AZ - 85308
1.0,600 S Dobson Rd - Chandler - AZ - 85224,600 S Dobson Rd - Chandler - AZ - 85224
1.0,4150 N 1st St - San Jose - CA - 95134,4150 N 1st St - San Jose - CA - 95134
1.0,935 N 1000 W - Tremonton - UT - 84337,935 N 1000 W - Tremonton - UT - 84337
1.0,165 N University Ave - Farmington - UT - 84025,165 N University Ave - Farmington - UT - 84025
1.0,962 Sage Dr - Cedar City - UT - 84720,962 Sage Dr - Cedar City - UT - 84720
1.0,389 S 900 E - Salt Lake City - UT - 84102,389 S 900 E - Salt Lake City - UT - 84102
1.0,3845 W 4700 S - Taylorsville - UT - 84129,3845 W 4700 S - Taylorsville - UT - 84129
1.0,4300 Rose Dr - Yorba Linda - CA - 92886,4300 Rose Dr - Yorba Linda - CA - 92886
1.0,1525 2100 S - Salt Lake City - UT - 84119,1525 2100 S - Salt Lake City - UT - 84119
1.0,1280 E Stringham Ave - Salt Lake City - UT - 84106,1280 E Stringham Ave - Salt Lake City - UT - 84106
1.0,5126 W Daybreak Pkwy - South Jordan - UT - 84009,5126 W Daybreak Pkwy - South Jordan - UT - 84009
1.0,600 Gillmor Way - Park City - UT - 84060,600 Gillmor Way - Park City - UT - 84060
1.0,1743 Redstone Center Dr - Park City - UT - 84098,1743 Redstone Center Dr - Park City - UT - 84098
1.0,411 Grand Ave - Oakland - CA - 94610,411 Grand Ave - Oakland - CA - 94610
1.0,762 W 400 S - Springville - UT - 84663,762 W 400 S - Springville - UT - 84663
