Ignore,Key Address,Key Name,State,Testing Site Name,Facility Type,Testing Site Address,Testing Site Zip,Testing Site Phone Number,Testing Site Hours,Instructions,URL Source,
,"600 Highland Ave., Madison WI 53792",University Hospital,Wisconsin,University Hospital,Hospital,"600 Highland Ave., Madison WI 53792",53792,(608) 263-6400,24 hours,"If you meet the criteria for a test for COVID-19, it is really important that you call ahead first. You can call your clinic, the UW Health COVID-19 hotline (608) 720-5300 or send a message through MyChart. If you do not have symptoms for COVID-19 you will not be tested at this time. UW Health has access to a number of options for testing, including some in home testing. Calling ahead of time is the best way to determine where to get tested if you qualify. IF YOU ARE NOT HAVING AN EMERGENCY CONDITION PLEASE DO NOT COME DIRECTLY TO THE UW HEALTH EMERGENCY DEPARTMENT TO GET TESTED. Walk-in testing is significantly limited. Presenting to a location for just getting tested for COVID-19 could result in you getting sent home without being tested. For that reason you must call ahead. Call the UW Health COVID-19 hotline (608) 720-5300, call ahead to your UW Health clinics, or send a My Chart message BEFORE coming in.",https://coronavirus.uwhealth.org/,
,"1675 Highland Ave., Madison WI 53792",American Family Children's Hospital,Wisconsin,American Family Children's Hospital,Hospital,"1675 Highland Ave., Madison WI 53792",53792,(608) 890-5437,24 hours,"If you meet the criteria for a test for COVID-19, it is really important that you call ahead first. You can call your clinic, the UW Health COVID-19 hotline (608) 720-5300 or send a message through MyChart. If you do not have symptoms for COVID-19 you will not be tested at this time. UW Health has access to a number of options for testing, including some in home testing. Calling ahead of time is the best way to determine where to get tested if you qualify. IF YOU ARE NOT HAVING AN EMERGENCY CONDITION PLEASE DO NOT COME DIRECTLY TO THE UW HEALTH EMERGENCY DEPARTMENT TO GET TESTED. Walk-in testing is significantly limited. Presenting to a location for just getting tested for COVID-19 could result in you getting sent home without being tested. For that reason you must call ahead. Call the UW Health COVID-19 hotline (608) 720-5300, call ahead to your UW Health clinics, or send a My Chart message BEFORE coming in.",https://coronavirus.uwhealth.org/,
,"4602 Eastpark Blvd, Madison WI 53718",UW Health at The American Center,Wisconsin,UW Health at The American Center,Hospital,"4602 Eastpark Blvd, Madison WI 53718",53718,(608) 440-6400,24 hours,"If you meet the criteria for a test for COVID-19, it is really important that you call ahead first. You can call your clinic, the UW Health COVID-19 hotline (608) 720-5300 or send a message through MyChart. If you do not have symptoms for COVID-19 you will not be tested at this time. UW Health has access to a number of options for testing, including some in home testing. Calling ahead of time is the best way to determine where to get tested if you qualify. IF YOU ARE NOT HAVING AN EMERGENCY CONDITION PLEASE DO NOT COME DIRECTLY TO THE UW HEALTH EMERGENCY DEPARTMENT TO GET TESTED. Walk-in testing is significantly limited. Presenting to a location for just getting tested for COVID-19 could result in you getting sent home without being tested. For that reason you must call ahead. Call the UW Health COVID-19 hotline (608) 720-5300, call ahead to your UW Health clinics, or send a My Chart message BEFORE coming in.",https://coronavirus.uwhealth.org/,
,"10256 Old Green Bay Road (Highways 31 & 165), Pleasant Prairie, WI",Pleasant Prairie Clinic,Wisconsin,Pleasant Prairie Clinic,Drive-Thru,"10256 Old Green Bay Road, Pleasant Prairie, WI",,(262) 671-7777,"6:30 am - 6:30 pm, Monday – Friday; 8 am - 4:30 pm, Saturday","After calling 262-671-7777, you will be told whether or not you need a test. The following groups of people are getting tested currently: those with risk of exposure to the virus; symptoms like fever, cough, or shortness of breath; and those with medical complications like lung disease or diabetes. If you are told you need a test, the staff will schedule you an appointment.",http://www.froedtertsouth.com/uploadedFiles/Main_Site/Documents/About/News_Room/Drive%20Thru%20Testing%20-%20COVID-19.pdf,
,"10101 S 27th St, Franklin, WI 53132",Ascension SE Wisconsin Hospital – Franklin Campus,Wisconsin,Ascension SE Wisconsin Hospital – Franklin Campus,Drive-Thru,"10101 S 27th St, Franklin, WI 53132",53132,(833) 981-0711,8 am - 4:30 pm Monday - Friday,"Individuals who wish to be tested must first be pre-screened by an Ascension Medical Group provider, by phone (1-833-981-0711), or virtually using Ascension Online Care (ascension.org/OnlineCare). These tests are available by appointment only. Contact your primary care provider to determine if you need to be tested.",https://fox6now.com/2020/03/23/ascension-wisconsin-launches-drive-through-covid-19-testing-sites/,
,"801 S 70th St, West Allis, WI 53214",Ascension Columbia St. Mary’s Milwaukee – Gateway Clinic,Wisconsin,Ascension Columbia St. Mary’s Milwaukee – Gateway Clinic,Drive-Thru,"801 S 70th St, West Allis, WI 53214",53214,(833) 981-0711,8 am - 4:30 pm Monday - Friday,"Individuals who wish to be tested must first be pre-screened by an Ascension Medical Group provider, by phone (1-833-981-0711), or virtually using Ascension Online Care (ascension.org/OnlineCare). These tests are available by appointment only. Contact your primary care provider to determine if you need to be tested.",https://fox6now.com/2020/03/23/ascension-wisconsin-launches-drive-through-covid-19-testing-sites/,
,"3201 S 16th St #1000, Milwaukee, WI 53215",Ascension St. Francis Medical Arts Pavilion,Wisconsin,Ascension St. Francis Medical Arts Pavilion,Drive-Thru,"3201 S 16th St #1000, Milwaukee, WI 53215",53215,(833) 981-0711,8 am - 4:30 pm Monday - Friday,"Individuals who wish to be tested must first be pre-screened by an Ascension Medical Group provider, by phone (1-833-981-0711), or virtually using Ascension Online Care (ascension.org/OnlineCare). These tests are available by appointment only. Contact your primary care provider to determine if you need to be tested.",https://fox6now.com/2020/03/23/ascension-wisconsin-launches-drive-through-covid-19-testing-sites/,
,"201 North Mayfair Rd Wauwatosa, WI 53226",Ascension Wisconsin Urgent Care at Mayfair Road,Wisconsin,Ascension Wisconsin Urgent Care at Mayfair Road,Drive-Thru,"201 North Mayfair Rd Wauwatosa, WI 53226",53226,(833) 981-0711,8 am - 4:30 pm Monday - Friday,"Individuals who wish to be tested must first be pre-screened by an Ascension Medical Group provider, by phone (1-833-981-0711), or virtually using Ascension Online Care (ascension.org/OnlineCare). These tests are available by appointment only. Contact your primary care provider to determine if you need to be tested.",https://fox6now.com/2020/03/23/ascension-wisconsin-launches-drive-through-covid-19-testing-sites/,
,"1900 Washington St, Grafton, WI 53024",Grafton High School,Wisconsin,Grafton High School,Drive-Thru,"1900 Washington St, Grafton, WI 53024",53024,(833) 981-0711,8 am - 4:30 pm Monday - Friday,"Individuals who wish to be tested must first be pre-screened by an Ascension Medical Group provider, by phone (1-833-981-0711), or virtually using Ascension Online Care (ascension.org/OnlineCare). These tests are available by appointment only. Contact your primary care provider to determine if you need to be tested.",https://fox6now.com/2020/03/23/ascension-wisconsin-launches-drive-through-covid-19-testing-sites/,
,"10180 Washington Ave Mount Pleasant, WI 53177",Ascension Wisconsin Health Center – Mount Pleasant Urgent Care,Wisconsin,Ascension Wisconsin Health Center – Mount Pleasant Urgent Care,Drive-Thru,"10180 Washington Ave Mount Pleasant, WI 53177",53177,(833) 981-0711,8 am - 4:30 pm Monday - Friday,"Individuals who wish to be tested must first be pre-screened by an Ascension Medical Group provider, by phone (1-833-981-0711), or virtually using Ascension Online Care (ascension.org/OnlineCare). These tests are available by appointment only. Contact your primary care provider to determine if you need to be tested.",https://fox6now.com/2020/03/23/ascension-wisconsin-launches-drive-through-covid-19-testing-sites/,
