State,Testing Site Name,Facility Type,Testing Site Address,Testing Site Zip,Testing Site Phone Number,Testing Site Hours,Instructions,URL Source,Testing Site Status
Alaska,Fairbanks' Foundation Health Partners - Drive- Thru,Drive-Thru,"800 Noble St, Fairbanks, AK 99701",99701,(907) 458-2888,Call to confirm hours,"Testing will only be done on patients that are exhibiting symptoms and have a physician's referral. You will only be tested if you are exhibiting symptoms and are one of the following: • Immunocompromised individuals, • Individuals over the age of 60, • Those who are pregnant, • Critical health workers or community workers, • Nursing home workers, • Those with diabetes or chronic kidney, heart and/or lung diseases. More information about the drive-thru testing stations can be found by calling the hospital's COVID-19 hotline at 907-458-2888.",http://www.newsminer.com/alerts/fairbanks-launches-drive-thru-testing-for-covid-19/article_68c92f58-6d74-11ea-8291-c3ac02d32cb5.html,New Testing Site
Alaska,Fairbanks Memorial Hospital,Walk-up,"1650 Cowles Street, Fairbanks, AK 99701",99701,(907) 458-2888,Call to confirm hours,"A tent has been set up outside of the emergency department for patients to walk through if they wish to be tested outside of a health care facility with other patients. Testing will only be done on patients that are exhibiting symptoms and have a physician's referral. You will only be tested if you are exhibiting symptoms and are one of the following: • Immunocompromised individuals, • Individuals over the age of 60, • Those who are pregnant, • Critical health workers or community workers, • Nursing home workers, • Those with diabetes or chronic kidney, heart and/or lung diseases. More information about the drive-thru testing stations can be found by calling the hospital's COVID-19 hotline at 907-458-2888.",http://www.newsminer.com/alerts/fairbanks-launches-drive-thru-testing-for-covid-19/article_68c92f58-6d74-11ea-8291-c3ac02d32cb5.html,New Testing Site
Florida,South County Civic Center,Drive-Thru,"16700 Jog Road, Delray Beach, FL 33446",33446,(561) 804-0250,"8am-4pm, Monday-Friday","Telephone registration and appointment scheduling will begin on Monday, April 6, 2020 at 10:00 A.M. Beginning Tuesday, April 7, the phone line will be open 7: 00 A.M. to 7:00 P.M., seven days a week. Following Tuesday’s opening, testing will be available Monday through Friday from 8 A.M. to 4:00 P.M. and Saturday from 8 A.M. to 12 P.M. Preapproval and appointments are required. Individuals requesting testing will be approved through telephone screening conducted by Cleveland Clinic Florida. Screening criteria will include presence of symptoms, exposures, and risk factors.
A brief telephone interview will be conducted to determine eligibility for COVID-19 testing. There may be a high volume of calls, but staff will get to them as quickly as possible. Callers approved for testing will be given an appointment date and time slot for arrival at the testing site. Appointments can be made at 561-804-0250. Upon arrival at the site, a rapid check-in procedure will be conducted that will include verification of appointment time.",http://discover.pbcgov.org/Lists/Newsroom/NewsDispForm.aspx?ID=2735&RootFolder=/Lists/Newsroom&Source=http://discover.pbcgov.org/Pages/default.aspx,New Testing Site
Georgia,Georgia Tech- CVS Testing site,Drive-Thru,"352 Peachtree Place, Atlanta, GA, 30332",30332,,"9am-6pm, Monday-Friday; 10am-5pm, Saturday; 10am-4pm, Sunday","Rapid COVID-19 testing will be available to eligible individuals who meet criteria established by the Centers for Disease Control and Prevention, in addition to state residency and age guidelines. Patients will need to pre-register in advance on-line at CVS.com in order to schedule a same-day time slot to be tested.
When patients arrive at the test site, they are required stay in their vehicle. Team members on site will check their registration and direct them through the testing process. For the safety of patients and health care providers on site, testing is limited to drive-through testing only.
For more information about test site locations, hours of operations, and how to register for a test, please visit https://www.cvs.com/minuteclinic/covid-19-testing.",https://www.cvs.com/minuteclinic/covid-19-testing.,New Testing Site
Hawaii,Windward Urgent Care-Walgreens,Drive-thru,"46-021 Kamehameha Hwy Kaneohe, HI 96744", 96744,(808) 234-1490,Not specified at this time.,The Walgreen's has a doctor screening patients to make sure they meet the criteria for being tested or you can get an order from your primary care physician to be tested,https://www.talktomira.com/post/where-to-get-tested-for-coronavirus-covid-19-in-honolulu-hawaii,New Testing Site
Hawaii,Queen’s Island Urgent Care-Kapahulu,Clinic,"449 Kapahulu Ave Suite 104, Honolulu, HI 96815", 96815,(808) 691-2619,"8am-8pm, Daily",Queen’s Island Urgent Care is not accepting any walk-in COVID-19 testing. Call the info line — (808) 691-2619 to see if you are eligible for testing and to schedule your appointment.,https://www.talktomira.com/post/where-to-get-tested-for-coronavirus-covid-19-in-honolulu-hawaii,New Testing Site
Hawaii,Queen’s Island Urgent Care-Kakaako,Clinic,"400 Keawe St, Suite 100, Honolulu, HI 96813", 96813,(808) 691-2619,"8am-8pm, Daily",Queen’s Island Urgent Care is not accepting any walk-in COVID-19 testing. Call the info line — (808) 691-2619 to see if you are eligible for testing and to schedule your appointment.,https://www.talktomira.com/post/where-to-get-tested-for-coronavirus-covid-19-in-honolulu-hawaii,New Testing Site
Hawaii,Molokai General Hospital,Hospital,"280 Home Olu Pl, Kaunakakai, HI 96748", 96748,(808) 691-2619,,"Queens hospital emergency department could test for COVID-19, but only for those with high risks. Call the Queen’s Medical physician hotline — (808) 691-2619 — for information on testing.",https://www.talktomira.com/post/where-to-get-tested-for-coronavirus-covid-19-in-honolulu-hawaii,New Testing Site
Hawaii,Queen’s Island Urgent Care-Pearl Kai,Clinic,"98-199 Kamehameha Hwy, Bldg F, Aiea, HI 96701", 96701,(808) 691-2619,"8am-8pm, Daily",Queen’s Island Urgent Care is not accepting any walk-in COVID-19 testing. Call the info line — (808) 691-2619 to see if you are eligible for testing and to schedule your appointment.,https://www.talktomira.com/post/where-to-get-tested-for-coronavirus-covid-19-in-honolulu-hawaii,New Testing Site
Idaho,St. Luke's Plaza,Drive-Thru,"800 E. Park Blvd., Boise, ID 83712", 83712,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
